ID_Zindi,GT_NO2
ID_2MYNQS,25.156304368508195
ID_P4U5WU,33.625700653327115
ID_U4KWPK,36.380868565143565
ID_QGSNTZ,35.05725839221887
ID_GHSZ6K,29.00556110442409
ID_NKPFFW,36.073403403307125
ID_Z9ICW9,21.054884979185935
ID_H2YFI6,19.094062272851282
ID_RMBWWV,19.313359550197518
ID_8JASJD,29.380889352089092
ID_BVXTI2,17.03430120391506
ID_NDIOUZ,23.808485390631475
ID_AWH9CU,18.56745371207787
ID_FF8GFR,31.377575403451676
ID_SQCZ4B,45.927833209565705
ID_C2YTPV,24.0594967897375
ID_WV7RFQ,24.174560828029357
ID_E3CKAK,17.356850824233174
ID_U7XGZ3,25.490678744649724
ID_X8599L,31.051908680350998
ID_HR1N35,41.4059873067415
ID_O6FGA6,26.913484411637924
ID_Y1FO8G,36.23245186070481
ID_SGDI1C,39.48049118289706
ID_T2H0JJ,31.2412545332004
ID_V7BMNG,37.18816511713359
ID_S5MA32,42.42768844455789
ID_ANJZBA,43.395745818471454
ID_NZT2L7,41.151155839621275
ID_E4N2P4,44.470144173315745
ID_2LPD4W,38.58429157618909
ID_U51CCO,29.171625932732034
ID_7P7MDZ,24.11288659342045
ID_ZOMAXE,35.23595470851626
ID_L3HX41,34.40915822334974
ID_8E6XW7,36.787189919785156
ID_L36A06,23.123361555443307
ID_4UUVO8,26.831725971442808
ID_AI3L14,50.90421663703934
ID_Q3TKJO,31.4023957000413
ID_YSLM9R,40.93047835175575
ID_16OJ5Q,30.05152592076345
ID_BCQDMF,33.44147670452153
ID_HESMLO,27.869746361243294
ID_LVSQ5Z,39.77643741308925
ID_NYSBK9,52.1471967731692
ID_JO0816,48.5347700034869
ID_YU2FDJ,61.373315501114824
ID_WK1H30,36.58733953953072
ID_IMZNQW,33.56004688518445
ID_SV2X3R,17.724672403022588
ID_CUSO3Y,17.389483425923675
ID_3UDDC0,17.950842555223034
ID_W2SSXO,29.04161255643778
ID_WMBNA7,22.421996583003953
ID_8VHGC2,30.30037890872913
ID_EQZ4UO,21.990130205311793
ID_1HERHC,25.36850733901173
ID_CGV391,37.458497767141246
ID_D83DS9,21.700870036831198
ID_QB5VS9,36.79098621223324
ID_W4DSPL,42.534368781573185
ID_9QKTKF,49.095089361791594
ID_HUZUAO,49.2817324117679
ID_PTL4H1,41.20091195510074
ID_WG2SNW,42.92033306975338
ID_Y1YZTR,33.08694727586328
ID_TBFXSQ,36.07579321568102
ID_S53F29,38.65510136942655
ID_TYNKOT,31.190526739579962
ID_N6M5PK,29.201974410612966
ID_R760HZ,33.44384576958309
ID_3PBV8W,33.85815279783958
ID_VIF4K7,35.68484340882757
ID_JDSXF9,36.39083769966666
ID_3VGIYJ,47.24140508110988
ID_SPQFBT,36.56728953296557
ID_02BG4I,45.66087400483865
ID_EJIJRY,27.645219196772217
ID_M0JA5H,43.53204709599737
ID_5AQZBC,19.794778599573057
ID_YMSH34,27.568218352358947
ID_42SUHK,16.200556034707805
ID_JMWTV5,32.96012052550363
ID_719VF9,23.88596678002191
ID_0S1YRT,38.114491378896744
ID_O6PX6V,30.74336252754205
ID_U5WPHP,29.0037157733095
ID_380H7O,26.04850094202717
ID_9J0SDU,21.1867670482543
ID_AJ3XXY,39.13265783482408
ID_P89XNE,48.462081852250954
ID_RZ2XF4,38.873397747887985
ID_UX114U,30.997081471079614
ID_8RV42R,31.58523129445926
ID_5VJL5N,35.93233989088791
ID_9PWE2N,32.14456143872713
ID_XGMDRY,37.42942397283658
ID_VB1LGM,39.062594887795825
ID_1GKYOS,32.37820566713538
ID_WHJZDT,29.552149757480905
ID_4QSMAQ,31.756865121429335
ID_L7B5ZY,27.705293244533124
ID_88WB3J,26.941963045970972
ID_G0B9R1,29.352684514435282
ID_HEHFYZ,40.471735562651325
ID_U4MH6V,33.968807359241374
ID_1TBLHY,31.07063828809237
ID_EFNXPP,22.9338403808724
ID_KQOP09,27.36406113002697
ID_XDQZBU,35.77956162065127
ID_5OFLXB,25.3639281384942
ID_6DMT73,27.03402090396525
ID_HCNU75,24.050482373476328
ID_9IZ1F3,19.081438953265348
ID_P85NVK,24.896526328133053
ID_FQXMS7,43.9285626226667
ID_XBQE3E,32.62312010694427
ID_AVZR1W,31.754901785663026
ID_XSS3NL,19.74827505942244
ID_00CN88,19.586304649291325
ID_P2F1Y0,24.989576794510253
ID_D3HAGW,33.06507060875625
ID_5NGNZ7,19.842798236063782
ID_FZ08P6,29.008193843908185
ID_8T5VQQ,19.79247500372583
ID_SYLIJC,19.479950532385025
ID_PMINX4,22.886143483422522
ID_9ZTLNW,51.699714280334625
ID_H4WXYP,30.882501670287887
ID_FLBV3R,27.054508823353583
ID_PE422R,28.111610878074824
ID_1AI88B,23.077374538481166
ID_QMXZFN,26.701820398275352
ID_XC2DIG,42.49920699452977
ID_SE251I,27.482624635917336
ID_UUGCEI,36.174391512275356
ID_TD5E6W,27.741894368245568
ID_CYN3T0,23.822551277670243
ID_0EAGHS,19.815894527484417
ID_YB1WQM,51.39552057304415
ID_YMWXTO,28.145689518318523
ID_HH0TRT,24.910299591820422
ID_KOPCMZ,31.967308937052255
ID_NTHF58,27.52396918279501
ID_3Z4ZA8,31.952812383618696
ID_6NNBCG,63.96763986050985
ID_QDK3CW,31.778189911054664
